,EPA LHA,Units,"MW-1-15, 10/26/2021","MW-1-40, 10/26/2021","MW-2-20, 10/26/2021","MW-2-20, Duplicate","MW-2-30, 10/26/2021","MW-3-15, 10/26/2021","MW-3-40, 10/26/2021","MW-4-20, 10/25/2021","MW-5-20, 10/25/2021","MW-6-20, 10/26/2021","MW-7-20, 10/25/2021","MW-8-20, 10/25/2021","MW-9-30, 10/25/2021","MW-9-30, Duplicate","MW-10-20, 10/25/2021","MW-11-15, 10/31/2021","MW-12-10, 10/31/2021","MW-12-10, Duplicate",EPA LHA,Units,"MW-9-10, 10/25/2021","MW-13-20, 10/27/2021","MW-13-45, 10/27/2021","MW-13-45, Duplicate","MW-14-15, 11/1/2021","MW-14-31, 11/1/2021","MW-15-15, 11/3/2021","MW-14-45, 11/3/2021","MW-14-45, Duplicate","MW-16-15, 11/2/2021","MW-17-20, 10/26/2021","MW-17-40, 10/26/2021","MW-17-40, Duplicate","MW-18-15, 11/4/2021","MW-18-50, 11/4/2021","MW-18-50, Duplicate","MW-19-15, 11/5/2021",EPA LHA,Units,"MW-19-50, 11/5/2021","MW-19-50, Duplicate","MW-20-15, 11/4/2021","MW-20-40, 11/4/2021","MW-21-15, 11/1/2021","MW-21-45, 11/1/2021","MW-21-45, Duplicate","MW-22-15, 10/30/2021","MW-22-40, 10/30/2021","MW-23-20, 10/24/2021","MW-23-50, 10/25/2021","MW-23-50, Duplicate","MW-24-10, 10/29/2021","MW-24-30, 10/29/2021","MW-25-15, 10/28/2021","MW-25-47, 10/29/2021","MW-25-47, Duplicate","GAC 2021, 11/5/2021",EPA LHA,Units,"21GST-TWP-1, 10/27/2021","21GST-TWP-2, 10/27/2021","21GST-TWP-3, 10/28/2021","21GST-TWP-3, Duplicate","21GST-TWP-4, 10/28/2021","21GST-TWP-5, 10/28/2021","21GST-TWP-6, 10/30/2021","21GST-TWP-7, 10/30/2021","21GST-TWP-8, 10/28/2021","21GST-TWP-9, 10/30/2021","21GST-TWP-10, 10/27/2021",EPA LHA,Units,"21GST-TWP-11, 10/30/2021","21GST-TWP-11, Duplicate","21GST-TWP-12, 10/30/2021","21GST-TWP-13, 10/24/2021","21GST-TWP-14, 10/24/2021","21GST-TWP-14, Duplicate","21GST-TWP-15, 10/27/2021","21GST-TWP-15, Duplicate","PW-016, 10/26/2021"
0,-,ng/L,0.76 J,<1.8,39 ,40,<1.8,5.8,12,0.55 J,0.88 J,1.1 J,0.67 J,<1.8,9.9 ,10,8.4,60,11 ,10,-,ng/L,<2.0,7.6,<1.7 ,<1.8,1.8,6.2,10,<1.7 ,<1.7,14,16,<1.9 ,<1.9,21,1.3 J,1.2 J,0.84 J,-,ng/L,1.8 ,1.8,5.5,<1.7,6.1,<1.8 ,<1.8,4.5,27,1.0 J,<1.9 J*,<1.9 J*,0.54 J,<1.7,0.56 J,<1.8 ,<1.8,<1.7,-,ng/L,<1.8,12,<1.8 ,<1.8,100,53,8.4,1.0 J,6.9,22,54,-,ng/L,6.4 ,5.9,0.57 J,14,3.9 ,3.8,11,11,1.5 J
1,-,ng/L,<1.8,<1.8,90 ,93,0.54  J*,0.61 J,1.8 J,<1.8,<1.8,<1.8,1.8 J,<1.8,7.5 ,7.7,6.4,16,2.9 ,2.4,-,ng/L,<2.0,4.2,<1.7 ,<1.8,1.0 J,8.6,2.6,<1.7 ,<1.7,56,11,<1.9 J*,<1.9,<1.8,<1.8 ,<1.8,<1.8,-,ng/L,1.5 J,1.8,1.5 J,<1.7,3.9,<1.8 ,<1.8,3.0,6.8,1.4 J,<1.9 J*,<1.9 J*,<1.7,<1.7,<1.8,<1.8 ,<1.8,<1.7,-,ng/L,<1.8,7.7,<1.8 ,<1.8,45,26,1.0 J,1.1 J,8.6,9.9,12,-,ng/L,1.1 J,1.4 J,<1.7,11,3.1 ,2.9,6.3,6.8,3.8
2,-,ng/L,<1.8,<1.8,44 ,49,<1.8,<1.9,<1.9,<1.8,<1.8,<1.8,0.61 J,<1.8,2.9 ,2.9,2.9,10,4.3 ,4.4,-,ng/L,<2.0,1.4 J,<1.7 ,<1.8,1.1 J,2.3,<1.7,<1.7 ,<1.7,25,1.8 J,<1.9 J*,<1.9,<1.8,<1.8 ,<1.8,<1.8,-,ng/L,<1.8 ,<1.8,<1.7,<1.7,1.9,<1.8 ,<1.8,1.1 J,1.2 J,<1.9,<1.9 J*,<1.9 J*,<1.7,<1.7,<1.8,<1.8 ,<1.8,<1.7,-,ng/L,<1.8,1.8,<1.8 ,<1.8,17,16,0.61 J,1.2 J,8.4,2.2,4.3,-,ng/L,1.1 J,1.1 J,<1.7,5.0,1.1 J,<2.0,3.0,3.1,1.9 J*
3,-,ng/L,<1.8,<1.8,6.5 ,7.0,<1.8,<1.9,<1.9,<1.8,<1.8,<1.8,<1.9,<1.8,<1.9 ,<1.8,<1.8,1.3 J,0.91  J*,0.58  J*,-,ng/L,<2.0,<1.7,<1.7 ,<1.8,<1.8,0.25 J,<1.7,<1.7 ,<1.7,4.0,<2.0,<1.9 J*,<1.9,<1.8,<1.8 ,<1.8,<1.8,-,ng/L,<1.8 ,<1.8,<1.7,<1.7,<1.8,<1.8 ,<1.8,<1.8,<1.8,0.65 J,<1.9 J*,<1.9 J*,<1.7,<1.7,<1.8,<1.8 ,<1.8,<1.7,-,ng/L,<1.8,<1.7,<1.8 ,<1.8,1.5 J,2.4,<1.7,0.52 J,<1.8,<1.7,<1.8,-,ng/L,<1.7 ,0.29 J,<1.7,<1.9,<2.0 ,<2.0 J*,<1.7,0.30 J,<1.9
4,-,ng/L,<1.8,<1.8,2.7 ,2.6,1.1 J,0.45  J*,1.0 J,<1.8,0.41 J,<1.8,0.21 J,<1.8,0.78 J,0.65 J,0.38 J,4.7,0.23 J,0.35  J*,-,ng/L,<2.0,0.70 J,<1.7 ,<1.8,0.24 J,0.74 J,<1.7,<1.7 ,<1.7,<1.7,0.98 J,<1.9 ,<1.9,<1.8,<1.8 ,<1.8,<1.8,-,ng/L,<1.8 ,<1.8,<1.7,<1.7,0.72 J,<1.8 ,<1.8,0.39 J*,4.0,<1.9,<1.9 J*,<1.9 J*,<1.7,<1.7,<1.8,<1.8 ,<1.8,<1.7,-,ng/L,<1.8,2.7,<1.8 ,<1.8,10,1.6 J,0.50 J,<1.7,<1.8,0.98 J,2.6,-,ng/L,0.26 J,0.21 J,<1.7,0.61 J,<2.0 ,<2.0,0.53 J,0.51 J,<1.9
5,-,ng/L,<1.8,<1.8,<1.8 ,0.72 J,<1.8,<1.9,<1.9,<1.8,<1.8,<1.8,<1.9,<1.8,<1.9 ,<1.8,<1.8,<1.8,<1.7 ,<1.7,-,ng/L,<2.0,<1.7,<1.7 ,<1.8,<1.8,<1.7,<1.7,<1.7 ,<1.7,13,<2.0,<1.9 ,<1.9,<1.8,<1.8 ,<1.8,<1.8,-,ng/L,<1.8 ,<1.8,<1.7,<1.7,<1.8,<1.8 ,<1.8,<1.8,<1.8,1.2 J,<1.9 J*,<1.9 J*,<1.7,<1.7,<1.8,<1.8 ,<1.8,<1.7,-,ng/L,<1.8,<1.7,<1.8 ,<1.8,<1.7,2.9,<1.7,<1.7,<1.8,<1.7,<1.8,-,ng/L,<1.7 ,<1.8,<1.7,<1.9,<2.0 ,<2.0,<1.7,<1.8,<1.9
6,-,ng/L,<1.8,<1.8,<1.8 ,<1.8,<1.8,<1.9,<1.9,<1.8,<1.8,<1.8,<1.9,<1.8,<1.9 ,<1.8,<1.8,<1.8,<1.7 ,<1.7,-,ng/L,<2.0,<1.7,<1.7 ,<1.8,<1.8,<1.7,<1.7,<1.7 ,<1.7,<1.7,<2.0,<1.9 ,<1.9,<1.8,<1.8 ,<1.8,<1.8,-,ng/L,<1.8 ,<1.8,<1.7,<1.7,<1.8,<1.8 ,<1.8,<1.8,<1.8,<1.9,<1.9 J*,<1.9 J*,<1.7,<1.7,<1.8,<1.8 ,<1.8,<1.7,-,ng/L,<1.8,<1.7,<1.8 ,<1.8,<1.7,<1.7,<1.7,<1.7,<1.8,<1.7,<1.8,-,ng/L,<1.7 ,<1.8,<1.7,<1.9,<2.0 ,<2.0,<1.7,<1.8,<1.9
7,-,ng/L,<1.8,<1.8,<1.8 ,<1.8,<1.8,<1.9,<1.9,<1.8,<1.8,<1.8,<1.9,<1.8,<1.9 ,<1.8,<1.8,0.72 J,<1.7 ,<1.7,-,ng/L,<2.0,<1.7,<1.7 ,<1.8,<1.8,<1.7,<1.7,<1.7 ,<1.7,<1.7,<2.0,<1.9 ,<1.9,<1.8,<1.8 ,<1.8,<1.8,-,ng/L,<1.8 ,<1.8,<1.7,<1.7,<1.8,<1.8 ,<1.8,<1.8,<1.8,<1.9,<1.9 J*,<1.9 J*,<1.7,<1.7,<1.8,<1.8 ,<1.8,<1.7,-,ng/L,<1.8,<1.7,<1.8 ,<1.8,<1.7,<1.7,<1.7,<1.7,<1.8,<1.7,<1.8,-,ng/L,<1.7 ,<1.8,<1.7,<1.9,<2.0 ,<2.0,<1.7,<1.8,<1.9
8,-,ng/L,<1.8,<1.8,<1.8 ,<1.8,<1.8,<1.9,<1.9,<1.8,<1.8,<1.8,<1.9,<1.8,<1.9 ,<1.8,<1.8,<1.8,<1.7 ,<1.7,-,ng/L,<2.0,<1.7,<1.7 ,<1.8,<1.8,<1.7,<1.7,<1.7 ,<1.7,<1.7,<2.0,<1.9 ,<1.9,<1.8,<1.8 ,<1.8,<1.8,-,ng/L,<1.8 ,<1.8,<1.7,<1.7,<1.8,<1.8 ,<1.8,<1.8,<1.8,<1.9,<1.9 J*,<1.9 J*,<1.7,<1.7,<1.8,<1.8 ,<1.8,<1.7,-,ng/L,<1.8,<1.7,<1.8 ,<1.8,<1.7,<1.7,<1.7,<1.7,<1.8,<1.7,<1.8,-,ng/L,<1.7 ,<1.8,<1.7,<1.9,<2.0 ,<2.0,<1.7,<1.8,<1.9
9,-,ng/L,<1.8,<1.8,<1.8 ,<1.8,<1.8,<1.9,<1.9,<1.8,<1.8,<1.8,<1.9,<1.8,<1.9 ,<1.8,<1.8,<1.8,<1.7 ,<1.7,-,ng/L,<2.0,<1.7,<1.7 ,<1.8,<1.8,<1.7,<1.7,<1.7 ,<1.7,<1.7,<2.0,<1.9 ,<1.9,<1.8,<1.8 ,<1.8,<1.8,-,ng/L,<1.8 ,<1.8,<1.7,<1.7,<1.8,<1.8 ,<1.8,<1.8,<1.8,<1.9,<1.9 J*,<1.9 J*,<1.7,<1.7,<1.8,<1.8 ,<1.8,<1.7,-,ng/L,<1.8,<1.7,<1.8 ,<1.8,<1.7,<1.7,<1.7,<1.7,<1.8,<1.7,<1.8,-,ng/L,<1.7 ,<1.8,<1.7,<1.9,<2.0 ,<2.0,<1.7,<1.8,<1.9
