,Sample Date,Location,PFOS,PFOA,Combined,PFOS/PFOA EPA Advisory Level,Other Combined PFAs
0,1/27/2021,4AL Raw,0.035,0.017,0.052,0.070 (Combined),0.0461
1,1/27/2021,4AL Post Lead,0.023,0.020,0.043,0.070 (Combined),0.0566
2,1/27/2021,4AL Post Lag (finished water),0.0045,0.012,0.017,0.070 (Combined),0.0448
3,1/27/2021,10AL Raw,0.052,0.018,0.070,0.070 (Combined),0.0661
4,1/27/2021,10AL Post Lead,ND,ND,ND,0.070 (Combined),0.0031
5,1/27/2021,10AL Post Lag (finished water),ND,ND,ND,0.070 (Combined),ND
6,1/27/2021,5AL Raw,0.0065,0.0074,0.0139,0.070 (Combined),0.0202
7,1/27/2021,6AL Raw,0.0037,0.0045,0.0082,0.070 (Combined),0.0123
8,1/27/2021,ALR,0.0049,0.0076,0.0125,0.070 (Combined),0.0237
9,2/24/2021,4AL Post Lag,ND,ND,ND,0.070 (Combined),0.0853
10,2/24/2021,10AL Post Lag (finished water),ND,ND,ND,0.070 (Combined),ND
11,2/24/2021,TW4,ND,0.0054,0.0054,0.070 (Combined),0.0127
12,2/24/2021,TW5,ND,0.0058,0.0058,0.070 (Combined),0.0160
13,2/26/2021,ALR,0.0075,0.0098,0.0173,0.070 (Combined),0.0283
14,2/26/2021,TWR,0.0021,0.0043,0.0064,0.070 (Combined),0.0123
15,2/12/2020,2AL Post Lead,0.023,0.020,0.043,0.070 (Combined),0.101
16,2/12/2020,2AL Post Lag (finished water),ND,0.0039,0.0039,0.070 (Combined),0.0481
17,2/12/2020,4AL Post Lead,0.0036,0.0086,0.0122,0.070 (Combined),0.0338
18,2/12/2020,4AL Post Lag (finished water),ND,ND,ND,0.070 (Combined),0.0135
19,4/23/2020,2AL Post Lead,ND,ND,ND,0.070 (Combined),ND
20,4/23/2020,2AL Post Lag (finished water),ND,ND,ND,0.070 (Combined),ND
21,4/23/2020,4AL Post Lead,ND,ND,ND,0.070 (Combined),ND
22,4/23/2020,4AL Post Lag (finished water),ND,ND,ND,0.070 (Combined),ND
23,5/22/2020,2AL Raw,0.16,0.044,0.204,0.070 (Combined),0.1521
24,5/22/2020,2AL Post Lag (finished water),ND,ND,ND,0.070 (Combined),ND
25,5/22/2020,4AL Raw,0.03,0.017,0.047,0.070 (Combined),0.0426
26,5/22/2020,4AL Post Lag (finished water),ND,ND,ND,0.070 (Combined),ND
27,5/22/2020,10AL Raw,0.043,0.018,0.061,0.070 (Combined),0.0602
28,5/22/2020,10AL Post Lead,ND,ND,ND,0.070 (Combined),ND
29,5/22/2020,10AL Post Lag (finished water),ND,ND,ND,0.070 (Combined),ND
30,5/22/2020,5AL Raw,0.0053,0.0068,0.0121,0.070 (Combined),0.0176
31,5/22/2020,6AL Raw,0.0032,0.0037,0.0069,0.070 (Combined),0.0085
32,5/22/2020,9AL Raw,0.021,0.015,0.036,0.070 (Combined),0.0353
33,5/22/2020,TW1 Raw,ND,ND,ND,0.070 (Combined),0.0032
34,5/22/2020,TW2 Raw,0.0024,ND,0.0024,0.070 (Combined),0.0057
35,5/22/2020,TW4 Raw,ND,0.005,0.005,0.070 (Combined),0.0114
36,5/22/2020,TW5 Raw,ND,0.0056,0.0056,0.070 (Combined),0.0120
37,5/22/2020,TW6 Raw,ND,0.0048,0.0048,0.070 (Combined),0.0024
38,5/22/2020,34C Raw,0.0026,0.0021,0.0047,0.070 (Combined),0.0041
39,6/23/2020,2AL Post Lag (finished water),ND,ND,ND,0.070 (Combined),ND
40,6/23/2020,4AL Post Lag (finished water),ND,ND,ND,0.070 (Combined),ND
41,6/23/2020,10AL Post Lag (finished water),ND,ND,ND,0.070 (Combined),ND
42,6/23/2020,20B Raw,ND,ND,ND,0.070 (Combined),ND
43,7/22/2020,2AL Post Lag (finished water),ND,ND,ND,0.070 (Combined),0.0022
44,7/22/2020,4AL Post Lag (finished water),ND,ND,ND,0.070 (Combined),ND
45,7/22/2020,10AL Post Lag (finished water),ND,ND,ND,0.070 (Combined),ND
46,8/19/2020,2AL Raw,0.15,0.037,0.187,0.070 (Combined),0.1408
47,8/19/2020,2AL Post Lead,0.015,0.011,0.026,0.070 (Combined),0.0589
48,8/19/2020,2AL Post Lag (finished water),ND,ND,ND,0.070 (Combined),0.0072
49,8/19/2020,4AL Raw,0.028,0.016,0.044,0.070 (Combined),0.0409
50,8/19/2020,4AL Post Lead,0.0022,0.005,0.007,0.070 (Combined),0.0264
51,8/19/2020,4AL Post Lag (finished water),ND,ND,ND,0.070 (Combined),0.0094
52,8/19/2020,10AL Raw,0.044,0.018,0.062,0.070 (Combined),0.0643
53,8/19/2020,10AL Post Lead,ND,ND,ND,0.070 (Combined),ND
54,8/19/2020,10AL Post Lag (finished water),ND,ND,ND,0.070 (Combined),ND
55,8/19/2020,5AL Raw,0.0051,0.0062,0.011,0.070 (Combined),0.0174
56,8/19/2020,6AL Raw,0.0031,0.0034,0.007,0.070 (Combined),0.0082
57,8/19/2020,9AL Raw,0.02,0.014,0.034,0.070 (Combined),0.0341
58,8/19/2020,TW1 Raw,ND,ND,ND,0.070 (Combined),0.0032
59,8/19/2020,TW2 Raw,0.0026,ND,0.002,0.070 (Combined),0.0060
60,8/19/2020,TW4 Raw,ND,0.0049,0.0049,0.070 (Combined),0.0120
61,8/19/2020,TW5 Raw,ND,0.0043,0.0043,0.070 (Combined),0.0125
62,8/19/2020,TW6 Raw,ND,0.0042,0.0042,0.070 (Combined),0.0026
63,8/19/2020,34C Raw,0.0025,ND,0.0025,0.070 (Combined),0.0060
64,9/23/2020,2AL Post Lag (finished water),ND,ND,ND,0.070 (Combined),0.0253
65,9/23/2020,4AL Post Lag (finished water),ND,ND,ND,0.070 (Combined),0.0168
66,10/27/2020,2AL Post Lag (finished water),0.0024,0.0044,0.0068,0.070 (Combined),0.0514
67,10/27/2020,4AL Post Lag (finished water),ND,0.0029,0.0029,0.070 (Combined),0.0249
68,10/27/2020,10AL Post Lag (finished water),ND,ND,ND,0.070 (Combined),ND
69,11/30/2020,4AL Raw,0.035,0.017,0.052,0.070 (Combined),0.0467
70,11/30/2020,4AL Post Lead,0.013,0.015,0.028,0.070 (Combined),0.0507
71,11/30/2020,4AL Post Lag (finished water),ND,0.0058,0.0058,0.070 (Combined),0.0359
72,11/30/2020,10AL Raw,0.052,0.02,0.072,0.070 (Combined),0.0714
73,11/30/2020,10AL Post Lead,ND,ND,ND,0.070 (Combined),ND
74,11/30/2020,10AL Post Lag (finished water),ND,ND,ND,0.070 (Combined),ND
75,11/30/2020,5AL Raw,0.0056,0.0069,0.0125,0.070 (Combined),0.0187
76,11/30/2020,6AL Raw,0.0036,0.0042,0.0078,0.070 (Combined),0.0117
77,11/30/2020,9AL Raw,Off,,,,
78,11/30/2020,TW1 Raw,ND,ND,ND,0.070 (Combined),0.0039
79,11/30/2020,TW2 Raw,0.0030,0.0022,0.0052,0.070 (Combined),0.0090
80,11/30/2020,TW4 Raw,ND,0.0055,0.0055,0.070 (Combined),0.0146
81,11/30/2020,TW5 Raw,ND,0.0057,0.0057,0.070 (Combined),0.0174
82,11/30/2020,TW6 Raw,ND,0.0046,0.0046,0.070 (Combined),0.0031
83,11/30/2020,34C Raw,0.0031,0.0020,0.0051,0.070 (Combined),0.0093
84,11/30/2020,20B Raw,ND,ND,ND,0.070 (Combined),ND
85,12/21/2020,4AL Post Lag (finished water),0.0023,0.0080,0.0103,0.070 (Combined),0.0401
86,1/25/2019,10AL Post Lead,ND,ND,ND,0.070 (Combined),
87,1/25/2019,10AL Post Lag (finished water),ND,ND,ND,0.070 (Combined),
88,2/22/2019,10AL Post Lead,ND,ND,ND,0.070 (Combined),
89,2/22/2019,10AL Post Lag (finished water),ND,ND,ND,0.070 (Combined),
90,3/13/2019,2AL - Post Lead Filter,ND,ND,ND,0.070 (Combined),
91,3/13/2019,2AL - Post Lag Filter (finished wate,ND,ND,ND,0.070 (Combined),
92,3/20/2019,10AL Post Lead,ND,ND,ND,0.070 (Combined),
93,3/20/2019,10AL Post Lag (finished water),ND,ND,ND,0.070 (Combined),
94,4/22/2019,2AL - Raw,0.16,0.04,0.200,0.070 (Combined),
95,4/22/2019,2AL - Post Lag Filter (finished wate,ND,ND,ND,0.070 (Combined),
96,4/22/2019,10AL - Raw,0.025,0.020,0.045,0.070 (Combined),
97,4/22/2019,10AL - Post Lead,ND,0.002,0.002,0.070 (Combined),
98,4/22/2019,10AL Post Lag (finished water),ND,ND,ND,0.070 (Combined),
99,5/22/2019,2AL - Post Lag Filter (finished wate,ND,ND,ND,0.070 (Combined),
100,5/22/2019,10AL - Post Lead,ND,0.0057,0.0057,0.070 (Combined),
101,5/22/2019,10AL Post Lag (finished water),ND,ND,ND,0.070 (Combined),
102,6/20/2019,2AL - Post Lag Filter (finished wate,ND,ND,ND,0.070 (Combined),
103,6/20/2019,10AL - Post Lead,ND,0.007,0.007,0.070 (Combined),
104,6/20/2019,10AL Post Lag (finished water),ND,ND,ND,0.070 (Combined),
105,7/24/2019,2AL - Post Lag Filter (finished wate,ND,ND,ND,0.070 (Combined),
106,7/24/2019,4AL - Post Lag Filter (finished wate,ND,ND,ND,0.070 (Combined),
107,7/24/2019,10AL - Post Lead,ND,0.0130,0.0130,0.070 (Combined),
108,7/24/2019,10AL Post Lag (finished water),ND,ND,ND,0.070 (Combined),
109,8/22/2019,2AL - Post Lag Filter (finished wate,ND,ND,ND,0.070 (Combined),
110,8/22/2019,4AL - Post Lag Filter (finished wate,ND,ND,ND,0.070 (Combined),
111,8/22/2019,10AL - Post Lead,ND,0.0130,0.0130,0.070 (Combined),
112,8/22/2019,10AL Post Lag (finished water),ND,ND,ND,0.070 (Combined),
113,9/24/2019,4AL - Post Lag Filter (finished wate,ND,ND,ND,0.070 (Combined),
114,10/23/2019,2AL - Raw,0.12,0.038,0.158,0.070 (Combined),
115,10/23/2019,2AL - Post Lead,0.011,0.012,0.023,0.070 (Combined),
116,10/23/2019,2AL Post Lag (finished water),ND,ND,ND,0.070 (Combined),
117,10/23/2019,4AL - Raw,0.019,0.014,0.033,0.070 (Combined),
118,10/23/2019,4AL - Post Lead,ND,ND,ND,0.070 (Combined),
119,10/23/2019,4AL Post Lag (finished water),ND,ND,ND,0.070 (Combined),
120,10/23/2019,10AL - Raw,0.039,0.018,0.057,0.070 (Combined),
121,10/23/2019,10AL - Post Lead,0.0036,0.018,0.0216,0.070 (Combined),
122,10/23/2019,10AL Post Lag (finished water),ND,ND,ND,0.070 (Combined),
123,11/19/2019,4AL - Post Lag Filter (finished wate,ND,ND,ND,0.070 (Combined),
124,1/25/2018,2AL - Raw,0.15,0.033,0.183,0.070 (Combined),
125,1/25/2018,2AL - Post Lead Filter,ND,ND,ND,0.070 (Combined),
126,1/25/2018,2AL - Post Lag Filter (finished wate,ND,0.003,0.003,0.070 (Combined),
127,1/25/2018,4AL - Raw,0.033,0.015,0.048,0.070 (Combined),
128,1/25/2018,4AL - Post Lead Filter,0.014,0.012,0.026,0.070 (Combined),
129,1/25/2018,4AL - Post Lag Filter (finished wate,ND,0.005,0.005,0.070 (Combined),
130,1/25/2018,9AL,0.015,0.011,0.026,0.070 (Combined),
131,1/25/2018,TW2,ND,ND,ND,0.070 (Combined),
132,1/25/2018,TW5,ND,0.0031,0.0031,0.070 (Combined),
133,1/25/2018,EPDS 001 (TWR),ND,0.0026,0.0026,0.070 (Combined),
134,1/25/2018,EPDS 003 (ALR),0.011,0.0099,0.0209,0.070 (Combined),
135,1/25/2018,EPDS 006 (34C),ND,ND,ND,0.070 (Combined),
136,2/23/2018,2AL - Raw,0.15,0.035,0.185,0.070 (Combined),
137,2/23/2018,2AL - Post Lead Filter,ND,0.0058,0.0058,0.070 (Combined),
138,2/23/2018,2AL - Post Lag Filter (finished wate,ND,0.006,0.0086,0.070 (Combined),
139,2/23/2018,4AL - Raw,0.033,0.017,0.05,0.070 (Combined),
140,2/23/2018,4AL - Post Lead Filter,0.018,0.016,0.034,0.070 (Combined),
141,2/23/2018,4AL - Post Lag Filter (finished wate,0.0031,0.0085,0.0116,0.070 (Combined),
142,2/23/2018,9AL,0.022,0.013,0.035,0.070 (Combined),
143,2/23/2018,TW2,ND,ND,ND,0.070 (Combined),
144,2/23/2018,EPDS 001 (TWR),ND,ND,ND,0.070 (Combined),
145,2/23/2018,EPDS 003 (ALR),0.016,0.012,0.028,0.070 (Combined),
146,2/23/2018,EPDS 005 (10AL),0.034,0.022,0.056,0.070 (Combined),
147,2/23/2018,EPDS 006 (34C),ND,ND,ND,0.070 (Combined),
148,3/7/2018,Marbella Well,0.0032,ND,0.0032,0.070 (Combined),
149,3/23/2018,2AL - Raw,0.14,0.033,0.173,0.070 (Combined),
150,3/23/2018,2AL - Post Lead Filter - Bottom,ND,ND,0.0089,0.070 (Combined),
151,3/23/2018,2AL - Post Lag Filter - Middle,ND,0.006,0.0047,0.070 (Combined),
152,3/23/2018,4AL - Raw,0.03,0.016,0.046,0.070 (Combined),
153,3/23/2018,4AL - Post Lead Filter,0.016,0.014,0.03,0.070 (Combined),
154,3/23/2018,4AL - Post Lag Filter (finished wate,0.0048,0.01,0.0148,0.070 (Combined),
155,3/23/2018,5AL,0.0031,0.0045,0.0076,0.070 (Combined),
156,3/23/2018,TW2,ND,ND,ND,0.070 (Combined),
157,3/23/2018,TW5,ND,0.0037,0.0037,0.070 (Combined),
158,3/23/2018,EPDS 001 (TWR),ND,0.0032,0.0032,0.070 (Combined),
159,3/23/2018,EPDS 003 (ALR),0.0046,0.0078,0.0124,0.070 (Combined),
160,3/23/2018,EPDS 005 (10AL),0.031,0.021,0.052,0.070 (Combined),
161,4/10/2018,10AL - Raw,0.031,0.020,0.051,0.070 (Combined),
162,4/10/2018,10AL - Post Lag Filter (finished wat,ND,ND,ND,0.070 (Combined),
163,4/17/2018,2AL - Raw,0.13,0.033,0.163,0.070 (Combined),
164,4/17/2018,2AL - Post Lead Filter - Top,0.1,0.036,0.136,0.070 (Combined),
165,4/17/2018,2AL - Post Lead Filter - Bottom,0.046,0.021,0.067,0.070 (Combined),
166,4/17/2018,2AL - Post Lag Filter - Top,0.024,0.019,0.043,0.070 (Combined),
167,4/17/2018,2AL - Post Lag Filter - Bottom,0.005,0.008,0.013,0.070 (Combined),
168,4/17/2018,4AL - Raw,0.031,0.015,0.046,0.070 (Combined),
169,4/17/2018,4AL - Post Lead Filter,0.02,0.016,0.036,0.070 (Combined),
170,4/17/2018,4AL - Post Lag Filter (finished wate,0.0058,0.012,0.0178,0.070 (Combined),
