,Sample,Collected,Received,Location,Type,PFBS,HFPO- DA,PFHpA,PFHxS,ADONA,PFOA,PFOS,PFNA,Units,Latitude,Longitude,Aquifer/Source,River Basin,Aquifer General,Land Use
0,AQ03020,7/15/2019,7/16/2019,Ashland Water Works,SW,0.00,18.30,0.00,0.00,0.00,4.74,1.96,0.00,ng/L,38.45277800000,-82.61305600000,Ohio R,Ohio,,urban
1,AQ02922,7/8/2019,7/9/2019,Augusta WTP,GW,1.88,0.00,0.00,0.00,0.00,4.43,1.00,0.00,ng/L,38.77361100000,-84.01944400000,Ohio R Alluvium,,ORA,rural
2,AQ04874,10/1/2019,10/1/2019,Barbourville,SW,0.00,0.00,0.00,0.00,0.00,1.39,1.03,0.00,ng/L,36.86444400000,-83.88194400000,Cumberland River,Cumberland,,urban
3,AQ03210,7/22/2019,7/23/2019,Bardstown Municipal Water,SW,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ng/L,37.81055600000,-85.50583300000,Buffalo Cr,Salt,,rural
4,AQ03216,7/22/2019,7/23/2019,Beaver Dam Municipal Water,GW,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ng/L,37.40250000000,-86.87750000000,Breathitt SS,,Pennsylvanian Sandstone,urban
5,AQ03410,7/29/2019,7/30/2019,Benton Water & Sewer,GW,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ng/L,36.86305600000,-88.34916700000,McNairy,,Mississippi Embayment,urban
6,AQ03214,7/22/2019,7/23/2019,Bowling Green Mun Utilities,SW,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ng/L,36.99944400000,-86.42472200000,Barren R,Green,,urban
7,AQ03408,7/29/2019,7/30/2019,Cadiz Municipal Water,SW,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ng/L,36.85944400000,-87.83805600000,St. Louis LS,Cumberland,Karst,urban
8,AQ03420,7/29/2019,7/30/2019,Calvert City Municipal Water Dept,GW,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ng/L,37.03972200000,-88.34916700000,TN River Alluvium,,TN R Alluvium,urban
9,AQ03654,8/13/2019,8/14/2019,Carroll Co WD - Gallatin Plant,GW,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ng/L,38.81611100000,-84.80930500000,Ohio R Alluvium,,ORA,rural
10,AQ02383,6/10/2019,6/11/2019,Carrollton Utilities,GW,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ng/L,38.67916700000,-85.17972200000,Ohio R Alluvium,,ORA,urban
11,AQ02853,7/1/2019,7/1/2019,Cynthiana Municipal,SW,0.00,0.00,0.00,2.20,0.00,1.21,8.35,0.00,ng/L,38.37694400000,-84.30333300000,S Licking R,Licking,,rural
12,AQ02920,7/8/2019,7/9/2019,Falmouth WTP,SW,0.00,0.00,1.00,0.00,0.00,0.00,1.24,0.00,ng/L,38.67583300000,-84.32583300000,Licking R,Licking,,rural
