,Analyte,Result,Qualifier,RL,MDL,Units,Dil Fac,Method,Prep Type,Sample ID
0,Perfluoropentanoic acid (PFPeA),0.64,J,1.9,0.46,ng/L,1,537 (modified),Total/NA, 320-66162-1
1,Perfluorohexanoic acid (PFHxA),1.0,J,1.9,0.54,ng/L,1,537 (modified),Total/NA, 320-66162-1
2,Perfluoroheptanoic acid (PFHpA),0.86,J,1.9,0.23,ng/L,1,537 (modified),Total/NA, 320-66162-1
3,Perfluorooctanoic acid (PFOA),31.0,,1.9,0.80,ng/L,1,537 (modified),Total/NA, 320-66162-1
4,Perfluorobutanesulfonic acid (PFBS),1.0,J,1.9,0.19,ng/L,1,537 (modified),Total/NA, 320-66162-1
5,Perfluoropentanesulfonic acid,0.9,J,1.9,0.28,ng/L,1,537 (modified),Total/NA, 320-66162-1
6,Perfluorohexanesulfonic acid (PFHxS),3.1,,1.9,0.53,ng/L,1,537 (modified),Total/NA, 320-66162-1
7,Perfluorooctanesulfonic acid (PFOS),2.8,I,1.9,0.51,ng/L,1,537 (modified),Total/NA, 320-66162-1
8,Perfluorooctanesulfonamide (FOSA),1.7,J,1.9,0.92,ng/L,1,537 (modified),Total/NA, 320-66162-1
9,Perfluorooctanesulfonamide (FOSA),3.4,,1.9,0.92,ng/L,1,537 (modified),Total/NA, 320-66162-2
10,Perfluorooctanesulfonic acid (PFOS),2.1,I,1.9,0.51,ng/L,1,537 (modified),Total/NA, 320-66162-2
11,Perfluorohexanesulfonic acid (PFHxS),2.3,,1.9,0.54,ng/L,1,537 (modified),Total/NA, 320-66162-2
12,Perfluoropentanesulfonic acid,0.76,J,1.9,0.28,ng/L,1,537 (modified),Total/NA, 320-66162-2
13,Perfluorohexanoic acid (PFHxA),0.63,J,1.9,0.55,ng/L,1,537 (modified),Total/NA, 320-66162-2
14,Perfluorooctanoic acid (PFOA),34.0,,1.9,0.80,ng/L,1,537 (modified),Total/NA, 320-66162-2
15,Perfluoroheptanoic acid (PFHpA),0.34,J,1.9,0.24,ng/L,1,537 (modified),Total/NA, 320-66162-2
16,Perfluoropentanoic acid (PFPeA),0.5,J,1.9,0.46,ng/L,1,537 (modified),Total/NA, 320-66162-2
17,Perfluorobutanesulfonic acid (PFBS),0.94,J,1.9,0.19,ng/L,1,537 (modified),Total/NA, 320-66162-2
18,Perfluorohexanesulfonic acid (PFHxS),1.3,J,1.9,0.55,ng/L,1,537 (modified),Total/NA, 320-66162-3
19,Perfluorooctanesulfonamide (FOSA),6.9,,1.9,0.94,ng/L,1,537 (modified),Total/NA, 320-66162-3
20,Perfluorobutanesulfonic acid (PFBS),0.55,J,1.9,0.19,ng/L,1,537 (modified),Total/NA, 320-66162-3
21,Perfluoropentanesulfonic acid,0.34,J,1.9,0.29,ng/L,1,537 (modified),Total/NA, 320-66162-3
22,Perfluoroheptanoic acid (PFHpA),0.37,J,1.9,0.24,ng/L,1,537 (modified),Total/NA, 320-66162-3
23,Perfluoropentanoic acid (PFPeA),0.5,J,1.9,0.47,ng/L,1,537 (modified),Total/NA, 320-66162-3
24,Perfluorooctanoic acid (PFOA),16.0,,1.9,0.82,ng/L,1,537 (modified),Total/NA, 320-66162-3
25,Perfluoroheptanoic acid (PFHpA),0.27,J,1.9,0.24,ng/L,1,537 (modified),Total/NA, 320-66162-4
26,Perfluorooctanoic acid (PFOA),12.0,,1.9,0.82,ng/L,1,537 (modified),Total/NA, 320-66162-4
27,Perfluorobutanesulfonic acid (PFBS),0.46,J,1.9,0.19,ng/L,1,537 (modified),Total/NA, 320-66162-4
28,Perfluoropentanesulfonic acid,0.37,J,1.9,0.29,ng/L,1,537 (modified),Total/NA, 320-66162-4
29,Perfluorohexanesulfonic acid (PFHxS),1.3,J,1.9,0.55,ng/L,1,537 (modified),Total/NA, 320-66162-4
30,Perfluorooctanesulfonamide (FOSA),1.4,J,1.9,0.94,ng/L,1,537 (modified),Total/NA, 320-66162-4
31,Perfluorobutanesulfonic acid (PFBS),0.53,J,1.9,0.19,ng/L,1,537 (modified),Total/NA, 320-66162-5
32,Perfluorooctanesulfonamide (FOSA),4.9,,1.9,0.92,ng/L,1,537 (modified),Total/NA, 320-66162-5
33,Perfluorohexanesulfonic acid (PFHxS),1.0,J,1.9,0.53,ng/L,1,537 (modified),Total/NA, 320-66162-5
34,Perfluorooctanoic acid (PFOA),3.6,,1.9,0.80,ng/L,1,537 (modified),Total/NA, 320-66162-5
35,Perfluoropentanoic acid (PFPeA),0.51,J,1.9,0.46,ng/L,1,537 (modified),Total/NA, 320-66162-5
36,Perfluoropentanesulfonic acid,0.31,J,1.9,0.28,ng/L,1,537 (modified),Total/NA, 320-66162-5
37,Perfluorooctanesulfonamide (FOSA),15.0,,1.9,0.93,ng/L,1,537 (modified),Total/NA, 320-66162-6
38,Perfluorooctanesulfonamide (FOSA),9.5,,1.9,0.91,ng/L,1,537 (modified),Total/NA, 320-66162-7
39,Perfluorooctanesulfonamide (FOSA),1.4,J,1.8,0.88,ng/L,1,537 (modified),Total/NA, 320-66162-8
40,Perfluorooctanoic acid (PFOA),4.8,,1.8,0.76,ng/L,1,537 (modified),Total/NA, 320-66162-8
41,Perfluorobutanesulfonic acid (PFBS),0.19,J,1.8,0.18,ng/L,1,537 (modified),Total/NA, 320-66162-8
42,Perfluorooctanesulfonic acid (PFOS),0.94,J,1.8,0.50,ng/L,1,537 (modified),Total/NA, 320-66162-9
43,Perfluorohexanesulfonic acid (PFHxS),3.1,,1.8,0.52,ng/L,1,537 (modified),Total/NA, 320-66162-9
44,Perfluorooctanesulfonamide (FOSA),3.1,,1.8,0.90,ng/L,1,537 (modified),Total/NA, 320-66162-9
45,Perfluoropentanesulfonic acid,1.6,J,1.8,0.28,ng/L,1,537 (modified),Total/NA, 320-66162-9
46,Perfluorooctanoic acid (PFOA),25.0,,1.8,0.78,ng/L,1,537 (modified),Total/NA, 320-66162-9
47,Perfluorohexanoic acid (PFHxA),0.96,J,1.8,0.53,ng/L,1,537 (modified),Total/NA, 320-66162-9
