,Water System Name / Well Name,USGS Site ID,County,Date,PFBS,PFPeS,PFHxS,PFHpS,PFOS,PFNS,PFDS,PFBA,PFPeA,PFHxA,PFHpA,PFOA,PFNA,PFDA,PFUnDA,PFDoDA,PFTrDA,PFTeDA,PFOSA,N-MeFOSAA,N-EtFOSAA,4:2 FTS,6:2 FTS,8:2 FTS,9Cl-PF3ONS,11Cl-PF3OUdS,ADONA,HFPO-DA,"PFOA+ PFOS
(ng/L)","ΣPFAS
(ng/L)",Total PFAS includes estimated values?
0,ABCWUA / Burton 4,350343106363301,Bernalillo,2020-09-25 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
1,ABCWUA / Leavitt 2,350249106434201,Bernalillo,2021-02-09 00:00:00,,,,,1.3,,,,,,,,,,,,,,,,,,,,,,,,1.3,1.3,Yes
2,ABCWUA / Walker 1,351025106323801,Bernalillo,2021-02-09 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
3,Roswell Water System / RIAC 1,331843104305001,Chaves,2020-10-28 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
4,Roswell Water System / RIAC 4,331843104315001,Chaves,2020-10-28 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
5,Roswell Water System / Well 12,332137104303901,Chaves,2020-10-28 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
6,Clovis Municipal Airport / Well 1,342537103051201,Curry,2020-11-17 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
7,Desert Ranch MDWCA / Well 1,342439103190901,Curry,2021-02-08 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
8,Desert Ranch MDWCA / Well 1,342439103190901,Curry,2021-05-12 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
9,Grady Water System / Well 1,344916103190001,Curry,2020-09-25 00:00:00,,,,,,,,,4.3,2.7,,,,,,,,,,,,,,,,,,,--,7,No
10,Grady Water System / Well 1,344916103190001,Curry,2021-01-13 00:00:00,,,,,,,,,4.4,2.9,,,,,,,,,,,,,,,,,,,--,7.3,No
11,Grady Water System / Well 2,344916103185801,Curry,2021-01-13 00:00:00,,,,,,,,,2,1.3,,,,,,,,,,,,,,,,,,,--,3.3,Yes
12,Grady Water System / Well 3,344915103185101,Curry,2021-01-13 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
13,Longhorn Estates Water System / Well 2,342610103185401,Curry,2021-02-10 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
14,Longhorn Estates Water System / Well 2,342610103185401,Curry,2021-05-12 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
15,Love's Travel Center / Well 1,342342103084201,Curry,2020-12-16 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
16,Melrose Water System / Well 1,342525103390901,Curry,2020-12-15 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
17,Melrose Water System / Well 1,342525103390901,Curry,2021-02-10 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
18,Melrose Water System / Well 2,342528103390901,Curry,2020-08-25 00:00:00,,,2,,1.4,,,,,,,,,,,,,,,,,,,,,,,,1.4,3.4,Yes
19,Melrose Water System / Well 2,342528103390901,Curry,2021-02-10 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
20,Melrose Water System / Well 3,342450103380101,Curry,2021-01-14 00:00:00,1.5,1.2,11.8,,2.9,,,,,,,,,,,,,,,,,,,,,,,,2.9,17.4,Yes
21,Melrose Water System / Well 4,342446103380101,Curry,2021-01-14 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
22,Ned Houk Park Area 11 / Well 1,343053103111201,Curry,2020-09-09 00:00:00,,,,,,,,,,,,,,,,,,,,,,,5.8,,,,,,--,5.8,Yes
23,Ned Houk Park Area 11 / Well 1,343053103111201,Curry,2021-02-11 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
24,Texico Water System / Brown well,342346103024901,Curry,2021-06-02 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
25,Texico Water System / KKR well,342322103025301,Curry,2020-12-16 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
26,Texico Water System / KKR well,342322103025301,Curry,2021-02-09 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
27,Texico Water System / Meeks Pivot well,342220103023302,Curry,2021-02-09 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
