,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,Site Identification,,,Landfill 3  MW 2,Landfill 4  MW 1,Landfill 5  MW 1,Landfill 5  MW 2,Landfill 7  MW 1,Landfill 10  MW 2,Landfill 12A  MW 1,Landfill 14  MW 1,Landfill 16  MW 2,FTA 4,FTA 5,GW 1
1,Analyte,Health Advisory Limit,Unit,Results,Results,Results,Results,Results,Results,Results,Results,Results,Results,Results,Results
2,6:2 fluorotelomersulfonate,Not Established,ppt,N.D.,N.D.,3.5,N.D.,9.6    J,N.D.,1.0    J,N.D.,N.D.,N.D.,4.4   J,N.D.
3,PFOS,70,ppt,N.D.,N.D.,0.47   J,N.D.,N.D.,1.3    J,0.46   J,1.1   J,N.D.,9.6    J,60,N.D.
4,PFOA,70,ppt,N.D.,3.0    J,0.94   J,0.34   J,1.5    J,0.97   J,0.46   J,1.2   J,0.84   J,90,16,N.D.
5,PFBS,Not Established,ppt,6.4,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,2.1   J,N.D.,73,1.5   J,N.D.
6,PFBA,Not Established,ppt,N.D.,N.D.,N.D.,N.D.,N.D.,25,N.D.,5.4   J,N.D.,69,11   J,3.6    J
7,PFHpA,Not Established,ppt,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,110,1.3   J,N.D.
8,PFHxS,Not Established,ppt,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,5.2,N.D.,410,15,N.D.
9,PFHxA,Not Established,ppt,2.6    J,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,130,N.D.,N.D.
10,PFNA,Not Established,ppt,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,3.1    J,51,N.D.
11,PFPeS,Not Established,ppt,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,1.0    J,N.D.,77,1.4    J,N.D.
12,PFPeA,Not Established,ppt,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,160,N.D.,N.D.
