ID,Waterworks Name,City/County,Source Type,Entry Point Name,HFPO-DA,PFBA,PFBS,PFHxA,PFPeA,PFHxS,PFOS,PFOA,6:2 FTS,PFPeS,PFHpA
0,Twin Oaks Trailer Park,Bedford County,GW,ENTRY POINT - WELL,*,*,*,2.6 ng/L,3.2 ng/L,*,5.7 ng/L,3.5 ng/L,*,*,*
1,Western Virginia Water Authority,Roanoke County,SW,EP SPRING HOLLOW TF,52 ng/L,*,*,*,*,*,*,*,*,*,*
2,Blue Ridge Community,Botetourt County,GW,EP - WELL - BLUE RIDGE COMMUNITY,*,*,*,*,*,*,2.8 ng/L,2.8 ng/L,*,*,*
3,City of Williamsburg,City of Williamsburg,SW,ENTRY POINT,*,*,*,*,*,2.7 ng/L,2.1 ng/L,*,*,*,*
4,Frederick Water,Frederick County,SW,EP - JAMES T. ANDERSON WTP,*,*,*,*,*,*,*,*,8 ng/L,*,*
5,Frederick Water,Frederick County,SW,EP - JAMES DIEHL WTP,*,*,*,4.8 ng/L,27 ng/L,*,*,*,34.1 ng/L,22.4 ng/L,5.8 ng/L
6,Paris,Fauquier County,GW,Fauquier Co EPT- High Pt,*,*,1.9 ng/L,3.4 ng/L,2.9 ng/L,3.4 ng/L,15.1 ng/L,2 ng/L,*,*,*
7,Paris,Fauquier County,GW,Fauquier Co EPT- Peugan,*,2.9 ng/L,2.6 ng/L,6.1 ng/L,8.3 ng/L,*,*,3.3 ng/L,26.3 ng/L,*,*


