,TT or TH Sample ID,Date  Sampled,"PFOA,  ng/L","PFOS,  ng/L","Total PFOA +  PFOS, ng/L"
0,JW0121,Jun-20,1.1,29.5,30.6
1,JW0122,Jun-20,1.5,62.3,63.8
2,JW0127,Jun-20,ND,5.8,5.8
3,JW0128,Jun-20,ND,0.7,0.7
4,JW0129,Jun-20,ND,ND,ND
5,JW0130,Jun-20,ND,5.81,5.8
6,WW208 (JW0131 ),Jun-20,1.1,26.5,27.6
7,WW208 (JW0131 ),Apr-21,1.9,58.3,60.3
8,WW208 (JW0131 ),Aug-21,ND,19.0,19.0
9,WW208 (JW0131 ),Feb-22,2.3,35.0,37.3
10,JW0133,Jun-20,1.2,39.5,40.7
11,WW-207 (JW0134),Jun-20,1.6,68.7,70.3
12,WW-207 (JW0134),Aug-21,ND,46.0,46.0
13,WW-207 (JW0134),Feb-22,3.5,43.0,46.5
14,JW0135,Jun-20,1.4,34.5,35.9
15,JW0138,Jun-20,1.5,62,63.5
16,JW0139,Jun-20,1.1,38.2,39.3
17,JW0170,Jun-20,ND,42.4,42.4
18,JW0172,Jun-20,1.8,3.8,5.6
19,JW0172,Aug-21,ND,ND,ND
20,JW0173,Jun-20,ND,1.7,1.7
21,JW0173,Aug-21,ND,2.1,2.1
22,JW0173,Feb-22,ND,1.0,1.0
23,JW0174,Jun-20,ND,ND,ND
24,JW0183,Jun-20,ND,ND,ND
25,JW1210,Jun-20,ND,ND,ND
26,JW1213,Jun-20,ND,8.06,8.1
27,JW1213,Aug-21,ND,8.1,8.1
28,JW1213,Feb-22,0.59 J,6.6,7.2
29,JW1215,Jun-20,0.7,31.7,32.4
30,WW216  (JW1216),Jun-20,1.3,43.3,44.6
31,WW216  (JW1216),Aug-21,ND,24.0,24.0
32,WW216  (JW1216),Feb-22,3.1,47.0,50.1
33,JW1217,Jun-20,1.3,42.7,44.0
34,JW1218,Jun-20,1.1,34.8,35.9
35,JW1219,Jun-20,1.2,21.4,22.6
36,JW1220,Jun-20,0.8,13.2,14.0
37,JW1222,Jun-20,0.7,11.4,12.1
38,JW1224,Jun-20,1.2,6.8,8.0
39,JW1310,Jun-20,1.2,34,35.2
40,JW1312,Jun-20,1.7,45.2,46.9
41,JW1313,Jun-20,1.1,25.4,26.5
42,JW1315,Jun-20,0.7,12.6,13.3
43,JW1316,Jun-20,ND,6.2,6.2
44,SW-1,Aug-20,ND,ND,ND
45,UW-1,Aug-20,ND,ND,ND
46,UW-2,Aug-20,ND,ND,ND
47,UW-3,Aug-20,ND,ND,ND
48,WW-1,Aug-20,ND,ND,ND
49,WW-10,Aug-20,ND,ND,ND
50,WW-11,Aug-20,ND,ND,ND
51,WW-12,Aug-20,ND,ND,ND
52,WW-13,Aug-20,ND,ND,ND
53,WW-14,Aug-20,ND,4.6,4.6
54,WW-14,Aug-21,ND,3.5,3.5
55,WW-14,Feb-22,ND,ND,ND
56,WW-2,Aug-20,ND,24,24
57,WW-201,Sep-20,ND,23,23
58,WW-202,Sep-20,ND,14,14
59,WW-203,Sep-20,ND,17,17
60,WW-204,Sep-20,ND,7,7
61,WW-204,Aug-21,ND,7.1,7.1
62,WW-204,Feb-22,0.62 J,7.1,7.7
63,WW-205,Sep-20,ND,ND,ND
64,WW-206,Sep-20,ND,35,35
65,WW-210,Sep-20,ND,24,24
66,WW-211,Sep-20,2.7,40,42.7
67,WW-213,Sep-20,ND,17,17
68,WW-214,Sep-20,ND,16,16
69,WW-215,Sep-20,2.5,47.0,49.5
70,WW-217,Sep-20,2.2,26.0,28.2
71,WW-218,Sep-20,ND,ND,ND
72,WW-219,Sep-20,2.2,47,49.2
73,WW-3,Aug-20,ND,22,22
74,WW-3,Aug-21,ND,18,18
75,WW-3,Feb-22,1.1   J,18,19.1
76,WW-3002,Jan-21,ND,ND,ND
77,WW-3003,Jan-21,ND,ND,ND
78,WW-3006,Feb-21,ND,ND,ND
79,WW-3008,Jan-21,ND,ND,ND
80,WW-3009,Jan-21,ND,ND,ND
81,WW-3010,Jan-21,ND,ND,ND
82,WW-3012,Jan-21,ND,ND,ND
83,WW-3013,Jan-21,ND,ND,ND
84,WW-3014,Feb-21,ND,ND,ND
85,WW-3015,Feb-21,ND,ND,ND
86,WW-3016,Jan-21,ND,ND,ND
87,WW-3018,Jan-21,ND,ND,ND
88,WW-3021,Jan-21,ND,ND,ND
89,WW-3022,Jan-21,ND,4.7,4.7
90,WW-3022,Aug-21,4.2,7.2,11.4
91,WW-3022,Feb-22,0.53  J,5.3,5.8
92,WW-3024,Jan-21,ND,ND,ND
93,WW-3027,Feb-21,ND,ND,ND
94,WW-3031,Jan-21,ND,2.4,2.4
95,WW-3031,Aug-21,ND,ND,ND
96,WW-3031,Feb-22,ND,ND,ND
97,WW-3032,Feb-21,ND,ND,ND
98,WW-3035,Mar-21,ND,ND,ND
99,WW-3036,Jan-21,ND,ND,ND
100,WW-3037,Jan-21,ND,ND,ND
101,WW-3038,Jan-21,ND,ND,ND
102,WW-3039,Jan-21,ND,ND,ND
103,WW-3042,Jan-21,ND,ND,ND
104,WW-3044,Jan-21,ND,ND,ND
105,WW-3046,Jan-21,ND,ND,ND
106,WW-3047,Feb-21,ND,ND,ND
107,WW-3048,Jan-21,ND,ND,ND
108,WW-3049,Jan-21,ND,ND,ND
109,WW-3050,Jan-21,ND,ND,ND
110,WW-3053,Jan-21,ND,ND,ND
111,WW-3057,Jan-21,ND,ND,ND
112,WW-3059,Jan-21,ND,ND,ND
113,WW-3063,Feb-21,ND,ND,ND
114,WW-3064,Feb-21,ND,ND,ND
115,WW-3064,Feb-22,ND,ND,ND
116,WW-3065,Jan-21,ND,10,10
117,WW-3065,Aug-21,ND,5,5
118,WW-3065,Feb-22,ND,ND,ND
119,WW-3066,Jan-21,ND,ND,ND
120,WW-3077,Feb-21,2.4,15.0,17.4
121,WW-3077,Aug-21,1.9,13.0,14.9
122,WW-3077,Feb-22,ND,0.7,0.7
123,WW-3082,Feb-21,ND,ND,ND
124,WW-3085,Feb-21,ND,ND,ND
125,WW-3087,Mar-21,ND,ND,ND
126,WW-3089,Feb-21,ND,ND,ND
127,WW-3090,Feb-21,ND,ND,ND
128,WW-3091,Feb-21,ND,ND,ND
129,WW-3092,Feb-21,ND,ND,ND
130,WW-3095,Feb-21,ND,ND,ND
131,WW-3096,Feb-21,ND,ND,ND
132,WW-3097,Mar-21,ND,ND,ND
133,WW-3098,Feb-21,ND,ND,ND
134,WW-3099,Feb-21,ND,ND,ND
135,WW-3118,Feb-21,ND,ND,ND
136,WW-3119,Feb-21,ND,4.3,4.3
137,WW-3119,Aug-21,ND,6.7,6.7
138,WW-3119,Feb-22,0.77  J,10,10.8
139,WW-3120,Feb-21,ND,23,23
