,sample_id,analyte,concentration,sampling_date,units,is_detected,source_type,state,sampling_location,latitude,longitude,data_source
0,JW0121,PFOA,1.1,2020-06-01,ng/L,True,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
1,JW0122,PFOA,1.5,2020-06-01,ng/L,True,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
2,JW0127,PFOA,0.0,2020-06-01,ng/L,False,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
3,JW0128,PFOA,0.0,2020-06-01,ng/L,False,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
4,JW0129,PFOA,0.0,2020-06-01,ng/L,False,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
5,JW0130,PFOA,0.0,2020-06-01,ng/L,False,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
6,WW208 (JW0131 ),PFOA,1.1,2020-06-01,ng/L,True,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
7,WW208 (JW0131 ),PFOA,1.9,2021-04-01,ng/L,True,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
8,WW208 (JW0131 ),PFOA,0.0,2021-08-01,ng/L,False,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
9,WW208 (JW0131 ),PFOA,2.3,2022-02-01,ng/L,True,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
10,JW0133,PFOA,1.2,2020-06-01,ng/L,True,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
11,WW-207 (JW0134),PFOA,1.6,2020-06-01,ng/L,True,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
12,WW-207 (JW0134),PFOA,0.0,2021-08-01,ng/L,False,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
13,WW-207 (JW0134),PFOA,3.5,2022-02-01,ng/L,True,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
14,JW0135,PFOA,1.4,2020-06-01,ng/L,True,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
15,JW0138,PFOA,1.5,2020-06-01,ng/L,True,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
16,JW0139,PFOA,1.1,2020-06-01,ng/L,True,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
17,JW0170,PFOA,0.0,2020-06-01,ng/L,False,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
18,JW0172,PFOA,1.8,2020-06-01,ng/L,True,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
19,JW0172,PFOA,0.0,2021-08-01,ng/L,False,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
20,JW0173,PFOA,0.0,2020-06-01,ng/L,False,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
21,JW0173,PFOA,0.0,2021-08-01,ng/L,False,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
22,JW0173,PFOA,0.0,2022-02-01,ng/L,False,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
23,JW0174,PFOA,0.0,2020-06-01,ng/L,False,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
24,JW0183,PFOA,0.0,2020-06-01,ng/L,False,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
25,JW1210,PFOA,0.0,2020-06-01,ng/L,False,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
26,JW1213,PFOA,0.0,2020-06-01,ng/L,False,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
27,JW1213,PFOA,0.0,2021-08-01,ng/L,False,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
28,JW1213,PFOA,0.59,2022-02-01,ng/L,True,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
29,JW1215,PFOA,0.7,2020-06-01,ng/L,True,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
30,WW216  (JW1216),PFOA,1.3,2020-06-01,ng/L,True,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
31,WW216  (JW1216),PFOA,0.0,2021-08-01,ng/L,False,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
32,WW216  (JW1216),PFOA,3.1,2022-02-01,ng/L,True,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
33,JW1217,PFOA,1.3,2020-06-01,ng/L,True,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
34,JW1218,PFOA,1.1,2020-06-01,ng/L,True,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
35,JW1219,PFOA,1.2,2020-06-01,ng/L,True,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
36,JW1220,PFOA,0.8,2020-06-01,ng/L,True,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
37,JW1222,PFOA,0.7,2020-06-01,ng/L,True,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
38,JW1224,PFOA,1.2,2020-06-01,ng/L,True,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
39,JW1310,PFOA,1.2,2020-06-01,ng/L,True,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
40,JW1312,PFOA,1.7,2020-06-01,ng/L,True,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
41,JW1313,PFOA,1.1,2020-06-01,ng/L,True,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
42,JW1315,PFOA,0.7,2020-06-01,ng/L,True,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
43,JW1316,PFOA,0.0,2020-06-01,ng/L,False,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
44,SW-1,PFOA,0.0,2020-08-01,ng/L,False,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
45,UW-1,PFOA,0.0,2020-08-01,ng/L,False,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
46,UW-2,PFOA,0.0,2020-08-01,ng/L,False,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
47,UW-3,PFOA,0.0,2020-08-01,ng/L,False,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
48,WW-1,PFOA,0.0,2020-08-01,ng/L,False,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
49,WW-10,PFOA,0.0,2020-08-01,ng/L,False,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
50,WW-11,PFOA,0.0,2020-08-01,ng/L,False,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
51,WW-12,PFOA,0.0,2020-08-01,ng/L,False,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
52,WW-13,PFOA,0.0,2020-08-01,ng/L,False,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
53,WW-14,PFOA,0.0,2020-08-01,ng/L,False,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
54,WW-14,PFOA,0.0,2021-08-01,ng/L,False,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
55,WW-14,PFOA,0.0,2022-02-01,ng/L,False,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
56,WW-2,PFOA,0.0,2020-08-01,ng/L,False,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
57,WW-201,PFOA,0.0,2020-09-01,ng/L,False,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
58,WW-202,PFOA,0.0,2020-09-01,ng/L,False,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
59,WW-203,PFOA,0.0,2020-09-01,ng/L,False,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
60,WW-204,PFOA,0.0,2020-09-01,ng/L,False,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
61,WW-204,PFOA,0.0,2021-08-01,ng/L,False,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
62,WW-204,PFOA,0.62,2022-02-01,ng/L,True,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
63,WW-205,PFOA,0.0,2020-09-01,ng/L,False,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
64,WW-206,PFOA,0.0,2020-09-01,ng/L,False,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
65,WW-210,PFOA,0.0,2020-09-01,ng/L,False,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
66,WW-211,PFOA,2.7,2020-09-01,ng/L,True,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
67,WW-213,PFOA,0.0,2020-09-01,ng/L,False,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
68,WW-214,PFOA,0.0,2020-09-01,ng/L,False,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
69,WW-215,PFOA,2.5,2020-09-01,ng/L,True,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
